fips,age,race,sex,ethnicity,counts
1,54,w,Female,hl,9
1,55,w,Female,hl,9
1,56,w,Female,hl,3
1,57,w,Female,hl,4
1,58,w,Female,hl,19
1,59,w,Female,hl,10
1,60,w,Female,hl,18
1,61,w,Female,hl,3
1,62,w,Female,hl,12
1,63,w,Female,hl,1
1,64,w,Female,hl,6
1,65,w,Female,hl,4
1,66,w,Female,hl,10
1,67,w,Female,hl,5
1,68,w,Female,hl,5
1,69,w,Female,hl,0
1,70,w,Female,hl,24
1,71,w,Female,hl,2
1,72,w,Female,hl,9
1,73,w,Female,hl,8
1,74,w,Female,hl,0
1,75,w,Female,hl,3
1,76,w,Female,hl,10
1,77,w,Female,hl,2
1,78,w,Female,hl,1
1,79,w,Female,hl,25
1,80,w,Female,hl,6
1,81,w,Female,hl,6
1,82,w,Female,hl,16
1,83,w,Female,hl,16
1,84,w,Female,hl,0
1,85,w,Female,hl,20
1,86,w,Female,hl,4
1,87,w,Female,hl,16
1,88,w,Female,hl,5
1,89,w,Female,hl,2
1,90,w,Female,hl,4
1,91,w,Female,hl,18
1,92,w,Female,hl,3
1,93,w,Female,hl,9
1,94,w,Female,hl,8
1,95,w,Female,hl,12
1,96,w,Female,hl,2
1,97,w,Female,hl,7
1,98,w,Female,hl,13
1,99,w,Female,hl,3
1,100,w,Female,hl,10
1,105,w,Female,hl,10
1,110,w,Female,hl,2
1,0,w,Male,hl,19
1,1,w,Male,hl,7
1,2,w,Male,hl,6
1,3,w,Male,hl,3
1,4,w,Male,hl,8
1,5,w,Male,hl,12
1,6,w,Male,hl,0
1,7,w,Male,hl,2
1,8,w,Male,hl,7
1,9,w,Male,hl,19
1,10,w,Male,hl,13
1,11,w,Male,hl,14
1,12,w,Male,hl,2
1,13,w,Male,hl,17
1,14,w,Male,hl,7
1,15,w,Male,hl,27
1,16,w,Male,hl,11
1,17,w,Male,hl,7
1,18,w,Male,hl,7
1,19,w,Male,hl,26
1,20,w,Male,hl,10
1,21,w,Male,hl,40
1,22,w,Male,hl,40
1,23,w,Male,hl,47
1,24,w,Male,hl,45
1,25,w,Male,hl,15
1,26,w,Male,hl,61
1,27,w,Male,hl,62
1,28,w,Male,hl,54
1,29,w,Male,hl,31
1,30,w,Male,hl,24
1,31,w,Male,hl,19
1,32,w,Male,hl,14
1,33,w,Male,hl,16
1,34,w,Male,hl,29
1,35,w,Male,hl,18
1,36,w,Male,hl,5
1,37,w,Male,hl,11
1,38,w,Male,hl,25
1,39,w,Male,hl,6
1,40,w,Male,hl,9
1,41,w,Male,hl,23
1,42,w,Male,hl,9
1,43,w,Male,hl,2
1,44,w,Male,hl,11
1,45,w,Male,hl,11
1,46,w,Male,hl,13
1,47,w,Male,hl,2
1,48,w,Male,hl,23
1,49,w,Male,hl,10
1,50,w,Male,hl,15
1,51,w,Male,hl,2
1,52,w,Male,hl,6
1,53,w,Male,hl,25
1,54,w,Male,hl,22
1,55,w,Male,hl,6
1,56,w,Male,hl,16
1,57,w,Male,hl,1
1,58,w,Male,hl,24
1,59,w,Male,hl,3
1,60,w,Male,hl,1
1,61,w,Male,hl,10
1,62,w,Male,hl,4
1,63,w,Male,hl,0
1,64,w,Male,hl,6
1,65,w,Male,hl,16
1,66,w,Male,hl,7
1,67,w,Male,hl,10
1,68,w,Male,hl,5
1,69,w,Male,hl,8
1,70,w,Male,hl,2
1,71,w,Male,hl,13
1,72,w,Male,hl,3
1,73,w,Male,hl,12
1,74,w,Male,hl,5
1,75,w,Male,hl,6
1,76,w,Male,hl,5
1,77,w,Male,hl,2
1,78,w,Male,hl,1
1,79,w,Male,hl,10
1,80,w,Male,hl,2
1,81,w,Male,hl,9
1,82,w,Male,hl,2
1,83,w,Male,hl,7
1,84,w,Male,hl,13
1,85,w,Male,hl,5
1,86,w,Male,hl,12
1,87,w,Male,hl,12
1,88,w,Male,hl,7
1,89,w,Male,hl,10
1,90,w,Male,hl,19
1,91,w,Male,hl,16
1,92,w,Male,hl,7
1,93,w,Male,hl,4
1,94,w,Male,hl,8
1,95,w,Male,hl,6
1,96,w,Male,hl,15
1,97,w,Male,hl,0
1,98,w,Male,hl,9
1,99,w,Male,hl,1
1,100,w,Male,hl,20
1,105,w,Male,hl,1
1,110,w,Male,hl,12
1,0,w,Female,hl,13
1,1,w,Female,hl,12
1,2,w,Female,hl,13
1,3,w,Female,hl,17
1,4,w,Female,hl,5
1,5,w,Female,hl,5
1,6,w,Female,hl,7
1,7,w,Female,hl,6
1,8,w,Female,hl,13
1,9,w,Female,hl,5
1,10,w,Female,hl,21
1,11,w,Female,hl,17
1,12,w,Female,hl,3
1,13,w,Female,hl,2
1,14,w,Female,hl,9
1,15,w,Female,hl,7
1,16,w,Female,hl,18
1,17,w,Female,hl,17
1,18,w,Female,hl,1
1,19,w,Female,hl,2
1,20,w,Female,hl,5
1,21,w,Female,hl,13
1,22,w,Female,hl,13
1,23,w,Female,hl,11
1,24,w,Female,hl,11
1,25,w,Female,hl,18
1,26,w,Female,hl,20
1,27,w,Female,hl,3
1,28,w,Female,hl,4
1,29,w,Female,hl,9
1,30,w,Female,hl,16
1,31,w,Female,hl,1
1,32,w,Female,hl,25
1,33,w,Female,hl,22
1,34,w,Female,hl,16
1,35,w,Female,hl,4
1,36,w,Female,hl,6
1,37,w,Female,hl,1
1,38,w,Female,hl,5
1,39,w,Female,hl,4
1,40,w,Female,hl,7
1,41,w,Female,hl,22
1,42,w,Female,hl,11
1,43,w,Female,hl,22
1,44,w,Female,hl,7
1,45,w,Female,hl,8
1,46,w,Female,hl,2
1,47,w,Female,hl,9
1,48,w,Female,hl,2
1,49,w,Female,hl,7
1,50,w,Female,hl,13
1,51,w,Female,hl,2
1,52,w,Female,hl,16
1,53,w,Female,hl,20
1,54,w,Female,hl,4
1,55,w,Female,hl,25
1,56,w,Female,hl,7
1,57,w,Female,hl,7
1,58,w,Female,hl,18
1,59,w,Female,hl,12
1,60,w,Female,hl,17
1,61,w,Female,hl,9
1,62,w,Female,hl,3
1,63,w,Female,hl,12
1,64,w,Female,hl,10
1,65,w,Female,hl,15
1,66,w,Female,hl,4
1,67,w,Female,hl,11
1,68,w,Female,hl,14
1,69,w,Female,hl,20
1,70,w,Female,hl,1
1,71,w,Female,hl,5
1,72,w,Female,hl,3
1,73,w,Female,hl,15
1,74,w,Female,hl,1
1,75,w,Female,hl,7
1,76,w,Female,hl,5
1,77,w,Female,hl,13
1,78,w,Female,hl,5
1,79,w,Female,hl,16
1,80,w,Female,hl,11
1,81,w,Female,hl,4
1,82,w,Female,hl,19
1,83,w,Female,hl,10
1,84,w,Female,hl,5
1,85,w,Female,hl,19
1,86,w,Female,hl,6
1,87,w,Female,hl,12
1,88,w,Female,hl,3
1,89,w,Female,hl,5
1,90,w,Female,hl,7
1,91,w,Female,hl,14
1,92,w,Female,hl,1
1,93,w,Female,hl,9
1,94,w,Female,hl,6
1,95,w,Female,hl,5
1,96,w,Female,hl,4
1,97,w,Female,hl,13
1,98,w,Female,hl,0
1,99,w,Female,hl,26
1,100,w,Female,hl,1
1,105,w,Female,hl,4
1,110,w,Female,hl,19
1,0,w,Male,hl,4
1,1,w,Male,hl,10
1,2,w,Male,hl,5
1,3,w,Male,hl,2
1,4,w,Male,hl,5
1,5,w,Male,hl,6
1,6,w,Male,hl,16
1,7,w,Male,hl,3
1,8,w,Male,hl,1
1,9,w,Male,hl,1
1,10,w,Male,hl,5
1,11,w,Male,hl,8
1,12,w,Male,hl,10
1,13,w,Male,hl,1
1,14,w,Male,hl,10
1,15,w,Male,hl,2
1,16,w,Male,hl,2
1,17,w,Male,hl,4
1,18,w,Male,hl,7
1,19,w,Male,hl,7
1,20,w,Male,hl,4
1,21,w,Male,hl,4
1,22,w,Male,hl,9
1,23,w,Male,hl,6
1,24,w,Male,hl,5
1,25,w,Male,hl,1
1,26,w,Male,hl,15
1,27,w,Male,hl,6
1,28,w,Male,hl,7
1,29,w,Male,hl,15
1,30,w,Male,hl,11
1,31,w,Male,hl,1
1,32,w,Male,hl,9
1,33,w,Male,hl,11
1,34,w,Male,hl,7
1,35,w,Male,hl,6
1,36,w,Male,hl,12
1,37,w,Male,hl,2
1,38,w,Male,hl,5
1,39,w,Male,hl,5
1,40,w,Male,hl,14
1,41,w,Male,hl,6
1,42,w,Male,hl,9
1,43,w,Male,hl,11
1,44,w,Male,hl,7
1,45,w,Male,hl,5
1,46,w,Male,hl,0
1,47,w,Male,hl,12
1,48,w,Male,hl,18
1,49,w,Male,hl,10
1,50,w,Male,hl,5
1,51,w,Male,hl,6
1,52,w,Male,hl,12
1,53,w,Male,hl,9
1,54,w,Male,hl,18
1,55,w,Male,hl,8
1,56,w,Male,hl,11
1,57,w,Male,hl,4
1,58,w,Male,hl,17
1,59,w,Male,hl,1
1,60,w,Male,hl,2
1,61,w,Male,hl,3
1,62,w,Male,hl,9
1,63,w,Male,hl,3
1,64,w,Male,hl,14
1,65,w,Male,hl,9
1,66,w,Male,hl,13
1,67,w,Male,hl,5
1,68,w,Male,hl,9
1,69,w,Male,hl,6
1,70,w,Male,hl,12
1,71,w,Male,hl,3
1,72,w,Male,hl,1
1,73,w,Male,hl,14
1,74,w,Male,hl,3
1,75,w,Male,hl,3
1,76,w,Male,hl,12
1,77,w,Male,hl,5
1,78,w,Male,hl,20
1,79,w,Male,hl,9
1,80,w,Male,hl,4
1,81,w,Male,hl,4
1,82,w,Male,hl,10
1,83,w,Male,hl,2
1,84,w,Male,hl,3
1,85,w,Male,hl,15
1,86,w,Male,hl,4
1,87,w,Male,hl,20
1,88,w,Male,hl,4
1,89,w,Male,hl,20
1,90,w,Male,hl,7
1,91,w,Male,hl,9
1,92,w,Male,hl,4
1,93,w,Male,hl,13
1,94,w,Male,hl,11
1,95,w,Male,hl,22
1,96,w,Male,hl,9
1,97,w,Male,hl,12
1,98,w,Male,hl,2
1,99,w,Male,hl,19
1,100,w,Male,hl,11
1,105,w,Male,hl,5
1,110,w,Male,hl,3
1,0,w,Female,hl,12
1,1,w,Female,hl,13
1,2,w,Female,hl,4
1,3,w,Female,hl,0
1,4,w,Female,hl,3
1,5,w,Female,hl,3
1,6,w,Female,hl,17
1,7,w,Female,hl,14
1,8,w,Female,hl,1
1,9,w,Female,hl,3
1,10,w,Female,hl,12
1,11,w,Female,hl,2
1,12,w,Female,hl,20
1,13,w,Female,hl,6
1,14,w,Female,hl,9
1,15,w,Female,hl,7
1,16,w,Female,hl,23
1,17,w,Female,hl,8
1,18,w,Female,hl,15
1,19,w,Female,hl,8
1,20,w,Female,hl,12
1,21,w,Female,hl,14
1,22,w,Female,hl,6
1,23,w,Female,hl,1
1,24,w,Female,hl,0
1,25,w,Female,hl,11
1,26,w,Female,hl,2
1,27,w,Female,hl,1
1,28,w,Female,hl,1
1,29,w,Female,hl,3
1,30,w,Female,hl,9
1,31,w,Female,hl,11
1,32,w,Female,hl,3
1,33,w,Female,hl,0
1,34,w,Female,hl,7
1,35,w,Female,hl,3
1,36,w,Female,hl,2
1,37,w,Female,hl,1
1,38,w,Female,hl,5
1,39,w,Female,hl,13
1,40,w,Female,hl,10
1,41,w,Female,hl,1
1,42,w,Female,hl,3
1,43,w,Female,hl,7
1,44,w,Female,hl,6
1,45,w,Female,hl,12
1,46,w,Female,hl,11
1,47,w,Female,hl,10
1,48,w,Female,hl,11
1,49,w,Female,hl,4
1,50,w,Female,hl,2
1,51,w,Female,hl,16
1,52,w,Female,hl,8
1,53,w,Female,hl,3
1,54,w,Female,hl,9
1,55,w,Female,hl,9
1,56,w,Female,hl,10
1,57,w,Female,hl,0
1,58,w,Female,hl,15
1,59,w,Female,hl,15
1,60,w,Female,hl,7
1,61,w,Female,hl,19
1,62,w,Female,hl,5
1,63,w,Female,hl,6
1,64,w,Female,hl,13
1,65,w,Female,hl,17
1,66,w,Female,hl,15
1,67,w,Female,hl,10
1,68,w,Female,hl,19
1,69,w,Female,hl,10
1,70,w,Female,hl,2
1,71,w,Female,hl,6
1,72,w,Female,hl,7
1,73,w,Female,hl,3
1,74,w,Female,hl,4
1,75,w,Female,hl,9
1,76,w,Female,hl,27
1,77,w,Female,hl,8
1,78,w,Female,hl,20
1,79,w,Female,hl,9
1,80,w,Female,hl,21
1,81,w,Female,hl,24
1,82,w,Female,hl,11
1,83,w,Female,hl,2
1,84,w,Female,hl,5
1,85,w,Female,hl,2
1,86,w,Female,hl,10
1,87,w,Female,hl,1
1,88,w,Female,hl,4
1,89,w,Female,hl,11
1,90,w,Female,hl,3
1,91,w,Female,hl,3
1,92,w,Female,hl,4
1,93,w,Female,hl,18
1,94,w,Female,hl,1
1,95,w,Female,hl,9
1,96,w,Female,hl,5
1,97,w,Female,hl,8
1,98,w,Female,hl,5
1,99,w,Female,hl,8
1,100,w,Female,hl,10
1,105,w,Female,hl,8
1,110,w,Female,hl,17
1,0,w,Male,hl,19
1,1,w,Male,hl,4
1,2,w,Male,hl,16
1,3,w,Male,hl,6
1,4,w,Male,hl,20
1,5,w,Male,hl,2
1,6,w,Male,hl,0
1,7,w,Male,hl,1
1,8,w,Male,hl,6
1,9,w,Male,hl,4
1,10,w,Male,hl,3
1,11,w,Male,hl,3
1,12,w,Male,hl,1
1,13,w,Male,hl,20
1,14,w,Male,hl,16
1,15,w,Male,hl,5
1,16,w,Male,hl,21
1,17,w,Male,hl,14
1,18,w,Male,hl,0
1,19,w,Male,hl,6
1,20,w,Male,hl,2
1,21,w,Male,hl,11
1,22,w,Male,hl,13
1,23,w,Male,hl,24
1,24,w,Male,hl,5
1,25,w,Male,hl,3
1,26,w,Male,hl,4
1,27,w,Male,hl,10
1,28,w,Male,hl,2
1,29,w,Male,hl,20
1,30,w,Male,hl,4
1,31,w,Male,hl,1
1,32,w,Male,hl,4
1,33,w,Male,hl,7
1,34,w,Male,hl,0
1,35,w,Male,hl,18
1,36,w,Male,hl,21
1,37,w,Male,hl,1
1,38,w,Male,hl,1
1,39,w,Male,hl,2
1,40,w,Male,hl,9
1,41,w,Male,hl,0
1,42,w,Male,hl,3
1,43,w,Male,hl,6
1,44,w,Male,hl,11
1,45,w,Male,hl,5
1,46,w,Male,hl,8
1,47,w,Male,hl,12
1,48,w,Male,hl,4
1,49,w,Male,hl,9
1,50,w,Male,hl,5
1,51,w,Male,hl,6
1,52,w,Male,hl,12
1,53,w,Male,hl,3
1,54,w,Male,hl,5
1,55,w,Male,hl,9
1,56,w,Male,hl,8
1,57,w,Male,hl,7
1,58,w,Male,hl,10
1,59,w,Male,hl,13
1,60,w,Male,hl,9
1,61,w,Male,hl,4
1,62,w,Male,hl,3
1,63,w,Male,hl,26
1,64,w,Male,hl,5
1,65,w,Male,hl,10
1,66,w,Male,hl,7
1,67,w,Male,hl,4
1,68,w,Male,hl,6
1,69,w,Male,hl,3
1,70,w,Male,hl,0
1,71,w,Male,hl,12
1,72,w,Male,hl,19
1,73,w,Male,hl,16
1,74,w,Male,hl,11
1,75,w,Male,hl,11
1,76,w,Male,hl,8
1,77,w,Male,hl,1
1,78,w,Male,hl,19
1,79,w,Male,hl,10
1,80,w,Male,hl,3
1,81,w,Male,hl,4
1,82,w,Male,hl,7
1,83,w,Male,hl,1
1,84,w,Male,hl,5
1,85,w,Male,hl,0
1,86,w,Male,hl,6
1,87,w,Male,hl,6
1,88,w,Male,hl,28
1,89,w,Male,hl,7
1,90,w,Male,hl,1
1,91,w,Male,hl,2
1,92,w,Male,hl,1
1,93,w,Male,hl,13
1,94,w,Male,hl,7
1,95,w,Male,hl,11
1,96,w,Male,hl,5
1,97,w,Male,hl,8
1,98,w,Male,hl,3
1,99,w,Male,hl,4
1,100,w,Male,hl,1
1,105,w,Male,hl,17
1,110,w,Male,hl,16
1,0,w,Female,hl,18
1,1,w,Female,hl,5
1,2,w,Female,hl,7
1,3,w,Female,hl,15
1,4,w,Female,hl,1
1,5,w,Female,hl,14
1,6,w,Female,hl,2
1,7,w,Female,hl,0
1,8,w,Female,hl,33
1,9,w,Female,hl,3
1,10,w,Female,hl,3
1,11,w,Female,hl,10
1,12,w,Female,hl,7
1,13,w,Female,hl,4
1,14,w,Female,hl,28
1,15,w,Female,hl,11
1,16,w,Female,hl,11
1,17,w,Female,hl,14
1,18,w,Female,hl,16
1,19,w,Female,hl,22
1,20,w,Female,hl,1
1,21,w,Female,hl,13
1,22,w,Female,hl,5
1,23,w,Female,hl,0
1,24,w,Female,hl,7
1,25,w,Female,hl,0
1,26,w,Female,hl,18
1,27,w,Female,hl,6
1,28,w,Female,hl,23
1,29,w,Female,hl,14
1,30,w,Female,hl,13
1,31,w,Female,hl,3
1,32,w,Female,hl,20
1,33,w,Female,hl,4
1,34,w,Female,hl,7
1,35,w,Female,hl,5
1,36,w,Female,hl,4
1,37,w,Female,hl,10
1,38,w,Female,hl,6
1,39,w,Female,hl,3
1,40,w,Female,hl,5
1,41,w,Female,hl,0
1,42,w,Female,hl,6
1,43,w,Female,hl,15
1,44,w,Female,hl,12
1,45,w,Female,hl,4
1,46,w,Female,hl,18
1,47,w,Female,hl,5
1,48,w,Female,hl,2
1,49,w,Female,hl,3
1,50,w,Female,hl,1
1,51,w,Female,hl,10
1,52,w,Female,hl,8
1,53,w,Female,hl,14
1,54,w,Female,hl,4
1,55,w,Female,hl,7
1,56,w,Female,hl,8
1,57,w,Female,hl,2
1,58,w,Female,hl,3
1,59,w,Female,hl,3
1,60,w,Female,hl,11
1,61,w,Female,hl,3
1,62,w,Female,hl,3
1,63,w,Female,hl,3
1,64,w,Female,hl,13
1,65,w,Female,hl,8
1,66,w,Female,hl,9
1,67,w,Female,hl,8
1,68,w,Female,hl,25
1,69,w,Female,hl,2
1,70,w,Female,hl,5
1,71,w,Female,hl,4
1,72,w,Female,hl,5
1,73,w,Female,hl,1
1,74,w,Female,hl,5
1,75,w,Female,hl,11
1,76,w,Female,hl,6
1,77,w,Female,hl,8
1,78,w,Female,hl,8
1,79,w,Female,hl,12
1,80,w,Female,hl,1
1,81,w,Female,hl,2
1,82,w,Female,hl,3
1,83,w,Female,hl,3
1,84,w,Female,hl,10
1,85,w,Female,hl,12
1,86,w,Female,hl,16
1,87,w,Female,hl,22
1,88,w,Female,hl,12
1,89,w,Female,hl,6
1,90,w,Female,hl,1
1,91,w,Female,hl,9
1,92,w,Female,hl,12
1,93,w,Female,hl,1
1,94,w,Female,hl,4
1,95,w,Female,hl,4
1,96,w,Female,hl,7
1,97,w,Female,hl,7
1,98,w,Female,hl,0
1,99,w,Female,hl,17
1,100,w,Female,hl,6
1,105,w,Female,hl,20
1,110,w,Female,hl,10
1,0,w,Male,hl,0
1,1,w,Male,hl,3
1,2,w,Male,hl,8
1,3,w,Male,hl,21
1,4,w,Male,hl,13
1,5,w,Male,hl,0
1,6,w,Male,hl,10
1,7,w,Male,hl,2
1,8,w,Male,hl,2
1,9,w,Male,hl,11
1,10,w,Male,hl,2
1,11,w,Male,hl,7
1,12,w,Male,hl,9
1,13,w,Male,hl,13
1,14,w,Male,hl,8
1,15,w,Male,hl,1
1,16,w,Male,hl,9
1,17,w,Male,hl,21
1,18,w,Male,hl,18
1,19,w,Male,hl,25
1,20,w,Male,hl,1
1,21,w,Male,hl,5
1,22,w,Male,hl,17
1,23,w,Male,hl,7
1,24,w,Male,hl,25
1,25,w,Male,hl,0
1,26,w,Male,hl,21
1,27,w,Male,hl,14
1,28,w,Male,hl,4
1,29,w,Male,hl,1
1,30,w,Male,hl,9
1,31,w,Male,hl,21
1,32,w,Male,hl,3
1,33,w,Male,hl,3
1,34,w,Male,hl,8
1,35,w,Male,hl,7
1,36,w,Male,hl,3
1,37,w,Male,hl,1
1,38,w,Male,hl,17
1,39,w,Male,hl,22
1,40,w,Male,hl,15
1,41,w,Male,hl,0
1,42,w,Male,hl,17
1,43,w,Male,hl,9
1,44,w,Male,hl,14
1,45,w,Male,hl,11
1,46,w,Male,hl,3
1,47,w,Male,hl,8
1,48,w,Male,hl,5
1,49,w,Male,hl,15
1,50,w,Male,hl,1
1,51,w,Male,hl,1
1,52,w,Male,hl,5
1,53,w,Male,hl,12
1,54,w,Male,hl,1
1,55,w,Male,hl,4
1,56,w,Male,hl,2
1,57,w,Male,hl,9
1,58,w,Male,hl,8
1,59,w,Male,hl,1
1,60,w,Male,hl,14
1,61,w,Male,hl,5
1,62,w,Male,hl,6
1,63,w,Male,hl,7
1,64,w,Male,hl,7
1,65,w,Male,hl,13
1,66,w,Male,hl,7
1,67,w,Male,hl,3
1,68,w,Male,hl,8
1,69,w,Male,hl,10
1,70,w,Male,hl,1
1,71,w,Male,hl,4
1,72,w,Male,hl,6
1,73,w,Male,hl,7
1,74,w,Male,hl,18
1,75,w,Male,hl,5
1,76,w,Male,hl,5
1,77,w,Male,hl,1
1,78,w,Male,hl,4
1,79,w,Male,hl,10
1,80,w,Male,hl,11
1,81,w,Male,hl,6
1,82,w,Male,hl,0
1,83,w,Male,hl,9
1,84,w,Male,hl,9
1,85,w,Male,hl,8
1,86,w,Male,hl,4
1,87,w,Male,hl,5
1,88,w,Male,hl,7
1,89,w,Male,hl,14
1,90,w,Male,hl,10
1,91,w,Male,hl,1
1,92,w,Male,hl,1
1,93,w,Male,hl,10
1,94,w,Male,hl,6
1,95,w,Male,hl,7
1,96,w,Male,hl,7
1,97,w,Male,hl,14
1,98,w,Male,hl,1
1,99,w,Male,hl,9
1,100,w,Male,hl,1
1,105,w,Male,hl,10
1,110,w,Male,hl,11
1,0,w,Female,hl,5
1,1,w,Female,hl,3
1,2,w,Female,hl,19
1,3,w,Female,hl,17
1,4,w,Female,hl,27
1,5,w,Female,hl,8
1,6,w,Female,hl,5
1,7,w,Female,hl,2
1,8,w,Female,hl,7
1,9,w,Female,hl,7
1,10,w,Female,hl,18
1,11,w,Female,hl,1
1,12,w,Female,hl,9
1,13,w,Female,hl,5
1,14,w,Female,hl,14
1,15,w,Female,hl,12
1,16,w,Female,hl,7
1,17,w,Female,hl,22
1,18,w,Female,hl,5
1,19,w,Female,hl,9
1,20,w,Female,hl,3
1,21,w,Female,hl,10
1,22,w,Female,hl,13
1,23,w,Female,hl,7
1,24,w,Female,hl,7
1,25,w,Female,hl,1
1,26,w,Female,hl,9
1,27,w,Female,hl,1
1,28,w,Female,hl,6
1,29,w,Female,hl,2
1,30,w,Female,hl,14
1,31,w,Female,hl,2
1,32,w,Female,hl,23
1,33,w,Female,hl,4
1,34,w,Female,hl,1
1,35,w,Female,hl,12
1,36,w,Female,hl,10
1,37,w,Female,hl,1
1,38,w,Female,hl,8
1,39,w,Female,hl,19
1,40,w,Female,hl,0
1,41,w,Female,hl,21
1,42,w,Female,hl,3
1,43,w,Female,hl,4
1,44,w,Female,hl,6
1,45,w,Female,hl,6
1,46,w,Female,hl,11
1,47,w,Female,hl,9
1,48,w,Female,hl,8
1,49,w,Female,hl,15
1,50,w,Female,hl,22
1,51,w,Female,hl,9
1,52,w,Female,hl,10
1,53,w,Female,hl,1
1,54,w,Female,hl,7
1,55,w,Female,hl,4
1,56,w,Female,hl,15
1,57,w,Female,hl,25
1,58,w,Female,hl,11
1,59,w,Female,hl,9
1,60,w,Female,hl,1
1,61,w,Female,hl,17
1,62,w,Female,hl,5
1,63,w,Female,hl,6
1,64,w,Female,hl,1
1,65,w,Female,hl,9
1,66,w,Female,hl,11
1,67,w,Female,hl,8
1,68,w,Female,hl,19
1,69,w,Female,hl,9
